end_citys
posX,posZ
9001,6777
2585,9049
-6055,9049
-8903,7081
-8903,1609
-8871,425
-8839,-1495
-8903,-5031
-7255,-9175
-6007,-9207
-1191,-9223
3929,-9191
7433,-9207
9369,-7927
9337,-6999
9337,-2807
9337,-2487
-887,9369
-8263,9353
-9191,9033
-9207,-3127
-9223,-7639
-9239,-8887
-6919,-9543
-6311,-9527
2249,-9479
2985,-9543
9705,6185
5801,9673
-9527,9673
-9495,7081
-9479,2937
-9511,-7607
-9527,-7959
1977,-9847
5497,-9831
7113,-9879
10041,-6663
9945,-4391
10009,5209
10025,7753
9401,9993
3913,9977
2345,9993
1977,9945
105,9977
-9847,7433
-9831,5257
-9847,-903
-4039,-10183
6185,-10231
4889,10281
-6007,10281
-7319,10297
-951,-10471
1337,-10487
6201,-10423
7417,-10471
8089,-10519
8729,-10487
10633,2969
10649,8137
10633,9625
3897,10601
-4103,10649
-5719,10665
-10455,9097
-10535,7753
-10551,5497
-10487,4857
-10439,1641
-10519,-10199
-8247,-10823
2345,-10807
6185,-10807
10889,-5399
11001,-5031
10953,-2151
10953,-1527
10921,3257
10921,5865
10985,9049
4841,10969
-1815,10985
-5351,10921
-10823,2313
-10839,-6359
-5383,-11127
4889,-11143
11241,-2791
11257,3913
11257,10617
11209,10953
5177,11289
2633,11257
-6311,11209
-8823,11241
-9847,11305
-11143,11321
-11127,73
-11143,-8583
-11159,-9799
-5687,-11431
-2823,-11463
1705,-11495
6457,-11479
11609,745
11545,4937
11577,11273
8649,11561
8409,11609
2601,11625
2345,11593
393,11577
-11479,10041
-11431,9017
-11495,409
-11495,-1863
-11383,-2535
-11415,-8599
-3143,-11751
3241,-11767
11961,-8247
11945,7097
11897,8073
10633,11897
-631,11881
-3143,11929
-6023,11929
-11783,9977
-11783,8681
-11799,8073
-11767,2649
-11799,-919
-11735,-1831
-11799,-12151
-10807,-12151
57,-12119
12249,-7655
12217,2985
12265,9705
1017,-887
-887,-887
1337,-535
1385,-311
985,1353
745,1353
-1255,665
1673,1321
-231,1657
-535,1689
-1543,1353
-1543,-935
1673,-1815
1977,-1847
1977,393
1977,1305
1993,1961
1049,1993
-263,2009
-1207,1993
-1879,697
-1895,-1207
-1847,-2199
-1239,-2199
2313,745
-2151,2313
-567,-2487
729,-2487
1033,-2487
1705,-2487
2681,-919
-2455,2665
-2503,-1847
1049,-2807
2649,-2823
2953,121
1625,2953
-2791,-279
-2775,-567
-2759,-2471
-887,-3095
969,-3111
2025,-3143
3273,-583
2297,3273
1657,3241
-3079,1625
-3079,-1831
3641,-2839
3545,-2199
3545,681
3625,2361
3257,3577
1977,3577
-519,3625
-3463,1049
-3495,-2807
-3479,-3063
-1175,-3751
2953,-3767
3305,-3767
3945,-2775
3881,57
3913,3001
3881,3913
3273,3945
1641,3849
697,3865
361,3913
-583,3897
-3783,3241
-3719,1945
-3767,73
4233,-3095
4233,-279
4217,3593
1385,4169
57,4201
-903,4233
-4087,2329
-4119,-887
-4135,-1207
-1207,-4471
1033,-4455
4585,73
4489,3929
4217,4521
1657,4505
1369,4489
-3143,4585
-3383,4553
-4439,697
-4375,-2807
-4407,-4439
-4119,-4759
-3719,-4727
-2439,-4727
-1191,-4711
2281,-4743
3577,-4695
3945,-4727
4809,-583
4889,3273
-2471,4889
-4727,3305
-4711,2969
-4743,1993
-4711,-3143
-2183,-5047
3273,-5079
5193,-4743
5177,-3719
5209,681
5177,2985
3241,5145
2249,5161
2025,5145
1705,5209
-1527,5177
-5047,1641
-4999,-1511
-1847,-5367
329,-5351
4281,-5431
5497,-2135
5465,-1527
5545,-247
5545,2601
5481,5529
3561,5465
3001,5529
665,5529
-919,5497
-3751,5465
-5047,5513
-5399,5513
-5351,4201
-5367,3241
-5303,2937
-5399,-1223
-5351,-1895
-5367,-4423
-3447,-5687
-519,-5687
2953,-5735
4521,-5719
5849,-839
5801,409
4905,5801
-5671,4553
-5751,3593
-5671,3257
-5655,2937
-5735,361
-5719,-5047
57,-6023
3593,-6023
5465,-6071
5817,-5959
6185,-4455
6105,-3143
6137,-1559
2969,6137
57,6137
-903,6105
-3079,6137
-5639,6169
-6023,4217
-6071,1993
-5975,713
-6007,-567
-6039,-4071
-5991,-6055
-3399,-6311
-2183,-6311
-1207,-6311
3577,-6375
6441,-2807
6457,-1847
6441,-1511
6489,6473
2009,6473
1353,6457
713,6489
-4727,6457
-6375,6121
-6327,5529
-6295,1033
-6295,-871
-6295,-1511
-5687,-6663
5833,-6631
6777,-6311
6745,-5735
6761,377
6809,681
6809,1049
6729,3257
6841,3609
2937,6777
1337,6825
377,6777
-2151,6745
-6695,5545
-6647,-1847
-6647,-4407
-2823,-6967
1673,-7015
7113,-6951
7065,-2823
7049,-2199
7129,-1799
7081,-887
7081,1033
7145,4233
7113,4825
1673,7145
1065,7065
-4439,-7255
-2871,-7335
-919,-7271
1977,-7319
4857,-7303
6121,-7287
6793,-7303
7385,-5063
7417,729
7417,4489
7417,7097
7449,7401
6825,7417
4601,7433
4281,7465
2265,7433
-7303,6489
-7303,1353
-7287,-3767
-7335,-4423
-7255,-6599
-3111,-7623
3289,-7607
6121,-7559
6521,-7607
7737,-5399
7753,-3463
7689,-3111
7689,4585
7769,7417
7385,7753
7129,7769
5497,7753
2649,7785
-855,7721
-7607,4553
-7607,-1191
-7575,-1511
-7639,-1815
-7575,-5623
-7287,-7879
-5015,-7975
-4407,-7991
4521,-7959
8105,-7271
8073,-4391
8089,-2471
8041,777
8025,1641
8105,7705
2617,8041
-2487,8057
-6631,8089
-7319,8041
-7959,6153
-7943,3593
-7879,57
-7959,-2503
-7975,-7911
-1591,-8215
4601,-8295
6441,-8231
8409,-7943
8361,-3815
8361,-3415
8361,-3127
8425,1337
8441,7721
-5991,8361
-6679,8377
-7607,8393
-7943,8441
-8231,4809
-8231,2985
-8295,-1863
-8263,-5735
-8247,-6359
-1239,-8567
729,-8551
2889,-8551
4873,-8551
8681,-6359
